Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom
2022-06-22,2,8500,800,4 out of 5,1,Baguiati,1,1,Bachelors/Family,1
2022-06-25,2,12500,850,Ground out of 2,1,"Rabindra Sarobar Area, Dhakuria",1,1,Bachelors/Family,2
2022-05-21,1,7500,350,Ground out of 2,2,Baghajatin,1,1,Bachelors/Family,1
2022-06-26,2,15000,900,Ground out of 2,2,"Project Kaikhali, Vip Road",1,1,Bachelors/Family,2
2022-06-16,2,6000,550,1 out of 1,1,Vip Road,1,2,Bachelors/Family,1
2022-06-29,2,5000,500,Ground out of 2,2,Baruipur,1,1,Bachelors/Family,2
2022-05-10,3,22000,1100,2 out of 3,2,Dumdum Park,1,1,Bachelors/Family,1
2022-05-12,2,15000,850,1 out of 2,2,Sreebhumi,1,2,Bachelors/Family,1
2022-06-03,2,12500,800,2 out of 2,2,Shyam Bazar,1,1,Bachelors,1
2022-05-31,2,7000,630,Ground out of 3,2,Birati,1,1,Bachelors,1
2022-06-10,2,21000,900,1 out of 2,2,Bansdroni,1,2,Bachelors,2
2022-06-24,1,10000,270,1 out of 2,2,Jadavpur University,1,2,Bachelors/Family,1
2022-06-29,2,7200,630,Ground out of 1,2,Birati,1,2,Bachelors/Family,1
2022-05-12,3,12000,1500,Ground out of 2,2,Bhadrakali,1,2,Bachelors,2
2022-06-26,1,5000,600,2 out of 5,1,Behala,1,1,Bachelors/Family,1
2022-04-30,2,8500,700,4 out of 14,2,Baruipur,1,2,Bachelors/Family,1
2022-05-27,1,6000,300,Ground out of 3,1,Ballygunge,1,2,Bachelors/Family,1
2022-06-06,2,10000,1300,Ground out of 1,1,Kalikapur,1,2,Family,2
2022-05-20,2,4600,400,3 out of 3,2,Behala,1,2,Bachelors,1
2022-07-02,2,12000,650,Ground out of 1,1,"Baishnabghata Patuli Township, Patuli",1,1,Family,2
2022-05-26,3,30000,2000,Ground out of 2,1,Behala,1,2,Bachelors/Family,2
2022-05-12,3,15000,1068,Ground out of 3,1,Bansdroni,1,2,Bachelors/Family,2
2022-06-22,1,7500,150,1 out of 1,1,Salt Lake City,1,2,Bachelors/Family,1
2022-06-25,1,7500,450,2 out of 2,2,New Town,1,1,Bachelors,1
2022-07-03,2,5000,800,Ground out of 1,2,Baruipur,1,1,Bachelors/Family,1
2022-04-23,2,15000,1000,Ground out of 2,1,Bansdroni,1,1,Bachelors/Family,2
2022-05-14,2,11000,900,5 out of 5,1,Pancha Sayar,1,2,Bachelors,1
2022-05-27,1,7000,600,Ground out of 2,2,Behala,1,1,Bachelors/Family,1
2022-06-19,2,6000,1200,1 out of 1,1,Hooghly-Chinsurah,1,1,Bachelors/Family,1
2022-06-19,2,6000,1200,2 out of 2,1,Hooghly-Chinsurah,1,2,Bachelors,2
2022-07-02,2,7000,650,Ground out of 3,1,"Amtala, Diamond Harbour Road",1,2,Bachelors/Family,2
2022-07-06,2,8500,720,4 out of 4,2,"Shrachi Village, Madhyam Gram",1,2,Bachelors/Family,2
2022-07-02,1,5000,300,1 out of 3,2,Kasba,1,1,Bachelors,1
2022-06-21,3,30000,1200,Ground out of 2,2,VIP Road Haldiram,1,1,Bachelors/Family,3
2022-06-04,2,10000,700,7 out of 8,2,Sarsuna,1,1,Bachelors/Family,2
2022-06-24,3,30000,2000,1 out of 3,1,Naihati,1,2,Bachelors/Family,2
2022-05-14,1,3500,250,Ground out of 4,1,Baksara,1,2,Bachelors/Family,1
2022-06-26,2,8000,1100,Ground out of 3,2,Naihati,1,1,Bachelors,1
2022-07-02,1,5000,300,Ground out of 2,2,Kasba,1,1,Bachelors/Family,1
2022-05-05,2,7500,600,Ground out of 2,1,"Amtala, Diamond Harbour Road",1,2,Bachelors/Family,1
2022-05-18,2,6500,800,Ground out of 2,2,"Chak Thakurani, Thakurpukur",1,1,Bachelors/Family,1
2022-06-07,1,7500,680,1 out of 3,1,Jadavpur,1,1,Bachelors/Family,1
2022-06-07,1,7500,680,Ground out of 2,1,Jadavpur,1,1,Bachelors/Family,1
2022-06-26,2,16000,850,1 out of 4,2,Salt Lake City Sector 1,1,2,Bachelors,1
2022-06-26,2,16000,850,1 out of 2,2,Salt Lake City Sector 1,1,2,Bachelors,1
2022-05-30,2,6500,700,Ground out of 2,1,Bandel,1,1,Bachelors,1
2022-05-22,3,40000,1500,Ground out of 2,1,Beliaghata,1,1,Bachelors/Family,2
2022-06-18,2,12500,950,1 out of 4,1,"Magnolia Prestige, Rajarhat",1,2,Bachelors/Family,2
2022-06-08,2,5500,500,Ground out of 2,1,"Baishnabghata Patuli Township, Patuli",1,1,Bachelors/Family,1
2022-06-25,1,5000,450,2 out of 4,2,"Dum Dum Heights, Jessore Road",1,2,Bachelors/Family,1
2022-05-03,2,6500,700,Ground out of 2,1,Sonarpur,1,1,Bachelors,1
2022-05-12,1,8000,500,1 out of 2,1,Lake Town,1,1,Bachelors/Family,1
2022-06-01,3,14500,1800,Ground out of 2,1,Belghoria,1,2,Bachelors/Family,2
2022-05-23,1,8200,500,1 out of 3,2,"Rabindra Pally, Keshtopur",1,2,Bachelors/Family,1
2022-05-23,2,15000,480,Ground out of 3,2,shukhobrishti,1,2,Bachelors/Family,2
2022-06-21,6,20000,1000,1 out of 1,1,Sonarpur,1,2,Bachelors/Family,2
2022-06-22,2,6700,800,1 out of 2,1,"Baishnavghata patuli , house number s-300 Kolkata 700094",1,2,Bachelors/Family,1
2022-05-27,1,10000,435,2 out of 3,1,Kasba,1,1,Bachelors/Family,1
2022-05-07,2,7000,700,Ground out of 2,2,Dum Dum Metro,1,2,Bachelors/Family,2
2022-06-25,2,22000,800,4 out of 4,1,"Hazra, Kalighat",1,2,Bachelors/Family,1
2022-06-27,2,6500,450,1 out of 3,1,Ajoy Nagar,1,1,Bachelors/Family,1
2022-05-31,2,8500,550,2 out of 3,2,Kasba -East,1,2,Bachelors/Family,1
2022-06-03,2,18000,800,Ground out of 4,2,Salt Lake City,1,1,Bachelors,2
2022-06-27,2,12000,550,Ground out of 2,2,Baghajatin,1,2,Family,2
2022-05-15,1,9000,600,2 out of 4,1,Behala,1,2,Bachelors/Family,1
2022-06-09,1,6000,500,Ground out of 1,1,"New Garia, Garia",1,1,Bachelors/Family,1
2022-04-28,2,20000,1000,1 out of 2,1,Anandapur,1,2,Bachelors/Family,2
2022-05-23,1,5000,300,1 out of 2,2,Dum Dum Metro,1,1,Bachelors/Family,1
2022-06-28,2,12000,1200,1 out of 3,1,Boral,1,2,Bachelors/Family,2
2022-06-23,2,10000,500,3 out of 4,2,"Rabindra Pally, Keshtopur",1,2,Bachelors/Family,1
2022-04-29,4,18000,1200,1 out of 2,1,Bagbazar,1,1,Family,2
2022-06-13,2,15000,900,1 out of 2,2,Salt Lake City Sector 1,1,2,Bachelors/Family,2
2022-06-13,3,22000,1300,Ground out of 2,2,Salt Lake City Sector 2,1,1,Bachelors/Family,3
2022-06-13,4,35000,1600,1 out of 5,2,Salt Lake City Sector 3,1,1,Bachelors/Family,3
2022-05-14,3,21000,1450,Ground out of 1,1,Ajoy Nagar,1,1,Family,2
2022-07-06,2,25000,1100,2 out of 2,1,"Action Area 1, Rajarhat Newtown",1,2,Bachelors,2
2022-06-16,2,180000,950,Ground out of 1,2,"Avenue S, Santoshpur",1,1,Bachelors/Family,2
2022-06-06,1,6000,600,8 out of 5,2,Pratiraksha Nagar,1,1,Bachelors/Family,1
2022-07-04,2,14000,700,Ground out of 2,2,"Kudghat, Ashok Nagar",1,1,Bachelors/Family,2
2022-05-15,3,8000,750,Ground out of 2,1,"Sakher Bazar, Purba Barisha",1,1,Family,1
2022-05-04,2,8000,1000,Ground out of 1,1,"Purbasan, Thakurpukur",1,1,Bachelors/Family,1
2022-04-25,1,6000,220,Ground out of 2,1,"Bidhan Pally, Bansdroni",1,2,Bachelors/Family,1
2022-05-21,1,8000,300,1 out of 3,2,"Naktala, Garia",1,2,Bachelors,1
2022-06-27,1,6000,300,Ground out of 1,2,Tiljala Road,1,1,Bachelors/Family,1
2022-07-02,1,20000,700,1 out of 2,1,Sankaritola,1,2,Bachelors/Family,1
2022-07-06,3,12000,800,Ground out of 1,1,"Parnashree Lake, Behala",1,1,Bachelors/Family,2
2022-04-28,3,15000,1600,1 out of 3,1,Garia,1,1,Bachelors/Family,2
2022-05-15,2,14000,1000,1 out of 3,2,Kasba,1,1,Bachelors/Family,2
2022-05-30,1,5000,20,2 out of 3,1,Dakshineswar,1,1,Bachelors/Family,1
2022-06-10,2,7000,400,Ground out of 2,2,chatana,1,1,Bachelors/Family,1
2022-06-23,1,3900,200,2 out of 2,1,Shyam Bazar,1,2,Bachelors/Family,1
2022-06-09,3,14000,840,1 out of 4,2,Mukundapur,1,1,Bachelors,2
2022-06-19,1,6300,300,1 out of 1,2,Salt Lake City Sector 5,1,1,Bachelors/Family,1
2022-07-03,2,13000,550,1 out of 2,2,Salt Lake City Sector 5,1,2,Bachelors/Family,2
2022-07-03,1,6800,300,1 out of 2,2,Salt Lake City Sector 5,1,1,Bachelors/Family,1
2022-05-14,2,8000,800,1 out of 1,1,Behala Chowrasta,1,1,Bachelors/Family,2
2022-05-10,2,10000,740,Ground out of 6,2,Sonarpur,1,1,Bachelors,1
2022-04-25,2,18000,1300,1 out of 1,1,Santoshpur,1,1,Bachelors/Family,2
2022-06-13,2,8000,650,Ground out of 1,1,"Garia Station, Garia",1,2,Bachelors/Family,1
2022-05-06,2,8000,490,1 out of 1,1,Entally,1,2,Bachelors/Family,1
2022-06-08,1,4700,250,2 out of 2,1,Kaikhali,1,2,Bachelors/Family,1
2022-06-08,1,4700,250,Ground out of 1,1,"Dash Drone, Rajarhat Newtown",1,2,Bachelors/Family,1
2022-05-06,1,4500,450,1 out of 2,1,"Rabindra Pally, Keshtopur",1,1,Bachelors/Family,1
2022-06-30,1,6000,300,Ground out of 1,2,Salt Lake City Sector 1,1,2,Bachelors/Family,1
2022-06-24,2,16000,750,1 out of 3,1,"Rajdanga Gardens, Kasba",1,1,Bachelors/Family,2
2022-07-01,1,4700,250,1 out of 2,1,Kaikhali,1,2,Bachelors/Family,1
2022-06-17,2,14000,751,3 out of 3,2,Baghajatin,1,1,Bachelors,1
2022-06-26,2,9000,900,Ground out of 2,2,Lake Town,1,2,Bachelors,1
2022-06-23,2,5000,400,1 out of 3,2,Keshtopur,1,2,Bachelors/Family,1
2022-06-13,2,17500,1000,Ground out of 2,2,Salt Lake City,1,2,Bachelors/Family,2
2022-06-11,2,8500,1000,Ground out of 1,2,South Baksara,1,1,Bachelors/Family,1
2022-05-26,3,15000,1500,1 out of 1,2,"Chandannagar, Hooghly-Chinsurah",1,2,Family,2
2022-04-25,2,12500,750,1 out of 3,2,"Sukhpally, Haltu",1,1,Bachelors/Family,2
2022-05-11,1,13000,1200,2 out of 4,1,Kasba,1,2,Bachelors/Family,1
2022-05-06,2,8000,700,Ground out of 1,1,"Sakher Bazar, Purba Barisha",1,1,Bachelors/Family,1
2022-05-10,2,8000,700,4 out of 4,2,Garia Dhalua Nabapally,1,2,Bachelors/Family,1
2022-05-21,2,8000,1000,Ground out of 2,1,"Chinar Park, Rajarhat",1,2,Bachelors/Family,1
2022-06-12,2,7000,1200,1 out of 3,1,Konnagar,1,1,Bachelors/Family,2
2022-06-05,2,2200,550,2 out of 3,1,Behala silpara,1,2,Bachelors/Family,1
2022-06-25,2,8000,800,Ground out of 4,2,Vip Road,1,1,Bachelors,1
2022-06-11,2,5500,280,1 out of 3,1,New Barrakpur,1,1,Bachelors,1
2022-07-04,3,20000,1100,Ground out of 2,1,"Thakurpukur, Kolkata",1,1,Bachelors/Family,3
2022-05-10,2,7000,950,Ground out of 2,1,Kaikhali,1,1,Bachelors/Family,1
2022-05-13,1,3500,250,1 out of 2,1,"Phool Bagan, Kankurgachi",1,2,Bachelors/Family,1
2022-05-10,2,5000,1000,Ground out of 2,2,Hindmotor,1,1,Bachelors,1
2022-06-30,3,20000,1000,Ground out of 2,2,Salt Lake City Sector 1,1,2,Bachelors/Family,2
2022-05-27,2,7000,650,Ground out of 2,1,Howrah,1,1,Bachelors/Family,1
2022-06-08,2,10000,700,1 out of 2,1,Benia Pukur,1,1,Bachelors/Family,2
2022-05-15,2,7000,700,Ground out of 3,2,Baguiati,1,1,Bachelors,1
2022-06-29,3,12000,1000,Ground out of 3,1,E M Bypass,1,2,Bachelors/Family,2
2022-05-13,2,14500,900,1 out of 4,2,"Panchanan Tola, Thakurpukur",1,1,Bachelors,2
2022-05-25,1,6000,700,1 out of 2,1,"VIP Nagar, E M Bypass",1,1,Bachelors/Family,1
2022-07-04,2,9500,700,1 out of 2,1,Jadavpur,1,1,Bachelors/Family,2
2022-06-27,2,10000,450,2 out of 1,2,Behala,1,2,Bachelors/Family,2
2022-05-06,1,3500,120,Ground out of 3,1,Dum Dum Cantonment,1,1,Bachelors/Family,1
2022-06-01,2,9000,800,1 out of 2,1,"New Garia, Garia",1,2,Bachelors/Family,2
2022-06-07,3,40000,1220,2 out of 3,2,Salt Lake City Sector 3,1,1,Bachelors/Family,2
2022-06-23,3,16500,1100,Ground out of 3,1,Mominpur,1,1,Bachelors/Family,1
2022-06-12,3,8000,700,Ground out of 3,2,"Halisahar Station Road, Kanchrapara",1,1,Family,2
2022-05-10,2,12000,800,Ground out of 3,1,Santoshpur,1,2,Bachelors/Family,1
2022-06-27,2,6500,670,2 out of 2,1,"Dunlop, Dakshineswar, Belgharia Expressway",1,1,Family,1
2022-04-30,4,40000,1300,1 out of 2,1,Ballygunge,1,1,Bachelors/Family,3
2022-05-06,1,5000,190,Ground out of 2,1,Baguihati,1,2,Bachelors/Family,1
2022-05-24,2,9000,700,Ground out of 2,1,Kabardanga,1,2,Bachelors/Family,1
2022-06-17,1,7000,240,Ground out of 4,2,Jadavpur,1,1,Bachelors,1
2022-05-19,2,18000,850,2 out of 4,2,Behala Chowrasta,1,2,Family,1
2022-05-26,1,9000,950,1 out of 2,1,Haltu,1,1,Bachelors/Family,2
2022-06-11,1,5500,450,1 out of 2,2,Botanical Garden Area,1,2,Bachelors/Family,1
2022-06-08,2,7500,800,Ground out of 2,2,Bonhooghly,1,1,Bachelors,1
2022-07-02,2,4000,600,1 out of 2,2,Nilgung Old Bazar,1,1,Bachelors/Family,1
2022-05-30,3,10500,800,2 out of 2,2,"Teghoria, Baguiati",1,1,Bachelors,2
2022-07-03,3,15000,1100,Ground out of 2,2,Survey Park,1,1,Bachelors/Family,2
2022-06-16,2,15000,800,Ground out of 2,2,Baguiati,1,2,Bachelors/Family,1
2022-05-13,1,50000,2200,2 out of 5,1,Kanchrapara,1,2,Bachelors/Family,3
2022-06-08,2,12000,950,1 out of 1,2,"Jote Shibrampur, Joth Shibrampur",1,1,Bachelors,2
2022-04-25,2,11000,550,2 out of 3,2,Ultadanga,1,1,Bachelors/Family,1
2022-06-04,2,12000,1800,1 out of 1,2,Birati,1,1,Bachelors,2
2022-05-11,2,8000,1000,Ground out of 2,1,"Chinar Park, Rajarhat",1,2,Bachelors/Family,1
2022-05-27,2,18000,600,Ground out of 3,1,Bagha Jatin Pally,1,2,Bachelors/Family,2
2022-04-24,2,8000,750,2 out of 4,2,rishi aurobindo sarani neat NIOH hospital,1,2,Bachelors/Family,2
2022-05-10,2,7000,685,2 out of 3,1,Dum Dum Metro,1,1,Bachelors/Family,1
2022-05-24,1,6500,44,Ground out of 1,2,Baranagar,1,2,Bachelors/Family,1
2022-06-10,4,13000,1200,Ground out of 2,2,Tollygunge,1,1,Bachelors/Family,1
2022-05-05,2,9000,500,Ground out of 2,2,Airport Near Gate No. 21/2,1,1,Bachelors,1
2022-04-29,4,10000,1110,2 out of 2,2,Purbasa,1,1,Bachelors/Family,2
2022-05-05,2,12000,1000,1 out of 3,1,Jadavpur,1,1,Bachelors/Family,2
2022-06-26,2,5000,392,Ground out of 2,1,Jadavpur,1,1,Bachelors/Family,1
2022-05-09,2,6000,700,1 out of 2,1,Barasat-Barrackpore Road,1,1,Bachelors/Family,1
2022-05-19,1,5200,750,2 out of 4,1,Keshtopur,1,1,Bachelors/Family,1
2022-06-07,3,15000,1500,1 out of 2,1,"Biren Roy Road (W) Chowrashtra Behala, Raja Rammohan Roy Road",1,1,Family,2
2022-04-29,2,9000,900,Ground out of 1,1,Keshtopur,1,1,Bachelors/Family,2
2022-07-03,1,24000,710,1 out of 1,1,Salt Lake City Sector 1,1,2,Bachelors,1
2022-05-26,1,5500,400,Ground out of 3,2,jadavpur central park east,1,1,Bachelors/Family,1
2022-06-24,1,10000,700,1 out of 2,2,Garia,1,1,Bachelors,1
2022-07-03,2,15000,1000,Ground out of 2,2,Tn Chatterjee Street,1,2,Bachelors/Family,1
2022-06-12,1,4700,250,1 out of 2,1,Kaikhali,1,2,Bachelors/Family,1
2022-05-14,1,5000,500,Ground out of 3,2,Bata Nagar,1,2,Bachelors/Family,1
2022-05-20,2,5000,450,2 out of 2,2,Birati,1,2,Bachelors/Family,1
2022-06-27,3,15000,1400,1 out of 3,1,Survey Park,1,1,Bachelors/Family,1
2022-05-14,1,5000,500,1 out of 1,2,Bata Nagar,1,2,Bachelors/Family,1
2022-06-17,2,6000,700,Ground out of 1,2,Hatiara Extention,1,1,Bachelors/Family,1
2022-06-04,3,18000,1200,1 out of 3,2,Salt Lake City Sector 1,1,2,Bachelors/Family,1
2022-06-21,2,8000,450,1 out of 2,2,Andul,1,1,Bachelors,1
2022-06-23,1,13000,500,2 out of 2,2,Salt Lake City Sector 2,1,2,Bachelors,1
2022-07-02,2,7500,400,Ground out of 1,2,locality,1,1,Bachelors/Family,1
2022-04-24,3,12000,1000,Ground out of 1,1,Khardah,1,1,Bachelors/Family,2
2022-06-04,2,11000,750,Ground out of 1,2,Parnasree Pally,1,1,Bachelors,1
2022-06-24,1,6000,450,Ground out of 2,1,Baghajatin,1,1,Family,1
2022-06-19,3,20000,1000,1 out of 2,2,Salt Lake City Sector 3,1,1,Bachelors,2
2022-07-03,2,7000,500,1 out of 1,2,sarsuna banerjee para,1,1,Bachelors,2
2022-06-19,4,30000,1600,Ground out of 1,2,Salt Lake City Sector 3,1,1,Bachelors,2
2022-07-02,2,7500,550,Ground out of 1,2,Near Seven Tanks Road Dumdum Station,1,1,Bachelors,1
2022-06-21,1,6500,550,1 out of 2,1,Jyangra,1,1,Bachelors/Family,2
2022-06-04,1,3000,200,2 out of 3,1,Barasat,1,1,Bachelors/Family,1
2022-06-30,2,5200,650,1 out of 2,2,Sukchar,1,1,Bachelors,1
2022-06-22,2,25000,1000,1 out of 1,1,"Tagore Park, Kasba",1,2,Bachelors/Family,2
2022-05-27,2,12500,680,Ground out of 2,2,Barrackpore,1,1,Bachelors/Family,2
2022-06-17,2,8500,720,Ground out of 1,2,"Silpara, Purba Barisha",1,1,Bachelors/Family,2
2022-06-20,2,3500,500,4 out of 5,2,Konnagar,1,1,Bachelors,1
2022-06-30,2,7000,800,Ground out of 2,1,Madhyam Gram,1,1,Bachelors/Family,1
2022-05-19,1,3000,160,Ground out of 1,1,"Kudghat, Ashok Nagar",1,1,Bachelors/Family,1
2022-06-19,2,14000,1200,1 out of 2,2,Salt Lake City Sector 5,1,1,Bachelors/Family,2
2022-06-17,1,18000,700,Ground out of 4,1,Salt Lake City Sector 3,1,2,Bachelors/Family,1
2022-06-13,1,3500,1000,Ground out of 1,1,Dum Dum Cantonment,1,2,Bachelors/Family,1
2022-06-16,2,16000,1250,Ground out of 1,1,Kasba,1,1,Bachelors/Family,2
2022-05-06,4,35000,1600,Ground out of 3,1,Salt Lake City,1,1,Bachelors/Family,3
2022-06-04,2,21000,700,Ground out of 2,1,Lake Gardens,1,2,Bachelors/Family,1
2022-06-16,1,4500,450,Ground out of 2,1,"Silpara, Purba Barisha",1,1,Bachelors/Family,1
2022-06-04,2,15000,839,1 out of 3,1,Howrah,1,2,Bachelors/Family,2
2022-07-01,1,4500,230,Ground out of 3,1,Birati,1,1,Bachelors/Family,1
2022-05-06,1,5500,1800,Ground out of 2,1,Baranagar,1,1,Bachelors/Family,1
2022-05-10,2,8500,800,1 out of 2,1,Baguihati,1,1,Bachelors/Family,2
2022-05-27,1,5000,500,Ground out of 1,2,BRAHMAPUR NEAR BANSDRONI,1,2,Bachelors/Family,1
2022-05-22,2,8500,620,Ground out of 1,2,Kasba,1,1,Bachelors,1
2022-04-24,2,9000,650,2 out of 3,2,tollygunge Kabardanga,1,1,Bachelors/Family,1
2022-05-23,1,7500,550,1 out of 2,1,"Naktala, Garia",1,2,Bachelors/Family,1
2022-04-23,2,7000,450,1 out of 3,2,safuipara,1,2,Bachelors,2
2022-04-24,3,15000,1350,1 out of 2,2,"Annapurna Apartment, Rajarhat Chowmatha",1,1,Family,2
2022-05-06,2,7000,600,2 out of 2,1,"Park Circus, Ballygunge",1,2,Bachelors/Family,2
2022-05-31,3,10000,1200,2 out of 4,1,Belghoria,1,2,Bachelors/Family,1
2022-06-25,2,7000,700,1 out of 2,1,"Haridevpur, Paschim Putiary",1,1,Bachelors/Family,1
2022-06-27,3,3200,800,1 out of 3,2,Bhawanipur,1,2,Bachelors/Family,2
2022-06-19,2,6000,600,Ground out of 3,2,Santoshpur,1,2,Bachelors/Family,1
2022-06-19,2,12000,900,1 out of 3,1,Tollygunge,1,1,Bachelors/Family,2
2022-05-31,2,6000,750,Ground out of 1,1,Behala,1,1,Bachelors/Family,1
2022-07-01,3,10000,1250,1 out of 2,1,Jaffarpore Rifle Range Road,1,1,Bachelors/Family,2
2022-05-31,3,12000,1000,2 out of 2,1,Dariya,1,2,Bachelors/Family,3
2022-06-03,2,8000,600,Ground out of 2,1,Howrah,1,2,Bachelors/Family,1
2022-06-30,2,5300,650,1 out of 1,2,Sodepur,1,1,Bachelors/Family,1
2022-06-24,2,5000,450,2 out of 3,2,Liluah,1,1,Bachelors,1
2022-06-11,3,8500,800,Ground out of 2,1,Near DumDum Metro,1,1,Bachelors/Family,2
2022-06-19,3,22000,1000,Ground out of 3,2,"Sukanta Nagar, New Barrakpur",1,2,Bachelors/Family,2
2022-06-19,2,7000,1000,Ground out of 3,1,"Kumarpara, Narendrapur",1,1,Bachelors/Family,1
2022-06-25,3,25000,1400,5 out of 5,2,Salt Lake City,1,2,Bachelors,3
2022-06-11,2,7000,600,1 out of 4,2,Barrackpore,1,2,Bachelors,1
2022-06-13,2,15000,723,Ground out of 3,2,Narendrapur,1,2,Family,1
2022-06-19,1,6000,320,Ground out of 2,2,Sahid Nagar,1,1,Bachelors/Family,1
2022-06-17,2,8000,900,Ground out of 3,1,Belghoria,1,2,Bachelors/Family,1
2022-05-27,3,40000,1400,Ground out of 2,2,Salt Lake City Sector 2,1,2,Bachelors/Family,2
2022-06-24,1,6000,2160,1 out of 2,1,Kasba,1,2,Bachelors,1
2022-06-22,2,15000,650,Ground out of 2,2,kasba bosepukur,1,2,Bachelors/Family,1
2022-06-16,2,6500,800,1 out of 1,1,Kanchrapara,1,2,Bachelors/Family,1
2022-06-08,3,8000,800,2 out of 3,1,Bansdroni,1,2,Bachelors/Family,1
2022-05-05,1,5500,500,Ground out of 2,2,"Garia Station, Garia",1,1,Bachelors/Family,1
2022-06-28,3,9000,1700,1 out of 2,1,Panchanantala Road,1,2,Bachelors/Family,2
2022-04-27,1,6000,130,Ground out of 2,2,Bow Bazar,1,2,Bachelors/Family,1
2022-05-14,1,15000,505,Ground out of 3,1,Kasba,1,2,Bachelors/Family,1
2022-07-04,4,30000,4000,Ground out of 3,1,"Sakher Bazar, Purba Barisha",1,2,Bachelors/Family,3
2022-05-22,3,30000,1250,Ground out of 2,1,New Alipore,1,1,Bachelors/Family,2
2022-06-15,1,5000,700,Ground out of 2,2,My Own House,1,1,Bachelors/Family,1
2022-06-12,2,15000,900,Ground out of 1,1,"Park Circus, Ballygunge",1,1,Bachelors,1
2022-06-26,1,6500,650,1 out of 1,1,Joka,1,2,Bachelors/Family,1
2022-06-29,2,4500,750,Ground out of 1,1,Azadgarh,1,2,Bachelors/Family,1
2022-05-07,2,7000,450,Ground out of 3,2,Mandirtala,1,1,Bachelors/Family,1
2022-06-25,1,6500,350,1 out of 2,2,Dhakuria,1,2,Bachelors/Family,1
2022-06-12,1,17500,480,1 out of 2,2,Rabindra Sarovar Metro,1,2,Bachelors,2
2022-06-18,2,10000,900,Ground out of 3,1,Garia,1,1,Bachelors/Family,1
2022-05-24,1,1500,200,Ground out of 2,1,Santoshpur,1,2,Bachelors/Family,1
2022-06-06,3,25000,1100,2 out of 3,1,"Regent Estate, Bijoygarh",1,1,Bachelors/Family,3
2022-04-28,2,12000,800,1 out of 2,2,Kasba,1,1,Bachelors/Family,1
2022-06-05,3,7500,1000,Ground out of 2,2,south station pally dankuni,1,2,Bachelors/Family,2
2022-06-11,1,7000,800,1 out of 2,2,Kumargali,1,1,Bachelors/Family,1
2022-06-29,1,3500,200,Upper Basement out of 4,1,Baguihati,1,2,Bachelors/Family,1
2022-06-26,3,10000,1190,1 out of 2,2,Sarsuna,1,1,Bachelors/Family,2
