BHK,Rent,Size,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom
1,7500,350,2,Baghajatin,Kolkata,1,Bachelors/Family,1
2,15000,900,2,"Project Kaikhali, Vip Road",Kolkata,1,Bachelors/Family,2
2,6000,550,1,Vip Road,Kolkata,2,Bachelors/Family,1
2,5000,500,2,Baruipur,Kolkata,1,Bachelors/Family,2
3,22000,1100,2,Dumdum Park,Kolkata,1,Bachelors/Family,1
2,15000,850,2,Sreebhumi,Kolkata,2,Bachelors/Family,1
2,12500,800,2,Shyam Bazar,Kolkata,1,Bachelors,1
2,7000,630,2,Birati,Kolkata,1,Bachelors,1
2,21000,900,2,Bansdroni,Kolkata,2,Bachelors,2
1,10000,270,2,Jadavpur University,Kolkata,2,Bachelors/Family,1
2,7200,630,2,Birati,Kolkata,2,Bachelors/Family,1
3,12000,1500,2,Bhadrakali,Kolkata,2,Bachelors,2
1,5000,600,1,Behala,Kolkata,1,Bachelors/Family,1
2,8500,700,2,Baruipur,Kolkata,2,Bachelors/Family,1
1,6000,300,1,Ballygunge,Kolkata,2,Bachelors/Family,1
2,10000,1300,1,Kalikapur,Kolkata,2,Family,2
2,4600,400,2,Behala,Kolkata,2,Bachelors,1
2,12000,650,1,"Baishnabghata Patuli Township, Patuli",Kolkata,1,Family,2
3,30000,2000,1,Behala,Kolkata,2,Bachelors/Family,2
3,15000,1068,1,Bansdroni,Kolkata,2,Bachelors/Family,2
1,7500,150,1,Salt Lake City,Kolkata,2,Bachelors/Family,1
1,7500,450,2,New Town,Kolkata,1,Bachelors,1
2,5000,800,2,Baruipur,Kolkata,1,Bachelors/Family,1
2,15000,1000,1,Bansdroni,Kolkata,1,Bachelors/Family,2
2,11000,900,1,Pancha Sayar,Kolkata,2,Bachelors,1
1,7000,600,2,Behala,Kolkata,1,Bachelors/Family,1
2,6000,1200,1,Hooghly-Chinsurah,Kolkata,1,Bachelors/Family,1
2,6000,1200,1,Hooghly-Chinsurah,Kolkata,2,Bachelors,2
2,7000,650,1,"Amtala, Diamond Harbour Road",Kolkata,2,Bachelors/Family,2
2,8500,720,2,"Shrachi Village, Madhyam Gram",Kolkata,2,Bachelors/Family,2
1,5000,300,2,Kasba,Kolkata,1,Bachelors,1
3,30000,1200,2,VIP Road Haldiram,Kolkata,1,Bachelors/Family,3
2,10000,700,2,Sarsuna,Kolkata,1,Bachelors/Family,2
3,30000,2000,1,Naihati,Kolkata,2,Bachelors/Family,2
1,3500,250,1,Baksara,Kolkata,2,Bachelors/Family,1
2,8000,1100,2,Naihati,Kolkata,1,Bachelors,1
1,5000,300,2,Kasba,Kolkata,1,Bachelors/Family,1
2,7500,600,1,"Amtala, Diamond Harbour Road",Kolkata,2,Bachelors/Family,1
2,6500,800,2,"Chak Thakurani, Thakurpukur",Kolkata,1,Bachelors/Family,1
1,7500,680,1,Jadavpur,Kolkata,1,Bachelors/Family,1
1,7500,680,1,Jadavpur,Kolkata,1,Bachelors/Family,1
2,16000,850,2,Salt Lake City Sector 1,Kolkata,2,Bachelors,1
2,16000,850,2,Salt Lake City Sector 1,Kolkata,2,Bachelors,1
2,6500,700,1,Bandel,Kolkata,1,Bachelors,1
3,40000,1500,1,Beliaghata,Kolkata,1,Bachelors/Family,2
2,12500,950,1,"Magnolia Prestige, Rajarhat",Kolkata,2,Bachelors/Family,2
2,5500,500,1,"Baishnabghata Patuli Township, Patuli",Kolkata,1,Bachelors/Family,1
1,5000,450,2,"Dum Dum Heights, Jessore Road",Kolkata,2,Bachelors/Family,1
2,6500,700,1,Sonarpur,Kolkata,1,Bachelors,1
1,8000,500,1,Lake Town,Kolkata,1,Bachelors/Family,1
3,14500,1800,1,Belghoria,Kolkata,2,Bachelors/Family,2
1,8200,500,2,"Rabindra Pally, Keshtopur",Kolkata,2,Bachelors/Family,1
2,15000,480,2,shukhobrishti,Kolkata,2,Bachelors/Family,2
6,20000,1000,1,Sonarpur,Kolkata,2,Bachelors/Family,2
2,6700,800,1,"Baishnavghata patuli , house number s-300 Kolkata 700094",Kolkata,2,Bachelors/Family,1
1,10000,435,1,Kasba,Kolkata,1,Bachelors/Family,1
2,7000,700,2,Dum Dum Metro,Kolkata,2,Bachelors/Family,2
2,22000,800,1,"Hazra, Kalighat",Kolkata,2,Bachelors/Family,1
2,6500,450,1,Ajoy Nagar,Kolkata,1,Bachelors/Family,1
2,8500,550,2,Kasba -East,Kolkata,2,Bachelors/Family,1
2,18000,800,2,Salt Lake City,Kolkata,1,Bachelors,2
2,12000,550,2,Baghajatin,Kolkata,2,Family,2
1,9000,600,1,Behala,Kolkata,2,Bachelors/Family,1
1,6000,500,1,"New Garia, Garia",Kolkata,1,Bachelors/Family,1
2,20000,1000,1,Anandapur,Kolkata,2,Bachelors/Family,2
1,5000,300,2,Dum Dum Metro,Kolkata,1,Bachelors/Family,1
2,12000,1200,1,Boral,Kolkata,2,Bachelors/Family,2
2,10000,500,2,"Rabindra Pally, Keshtopur",Kolkata,2,Bachelors/Family,1
4,18000,1200,1,Bagbazar,Kolkata,1,Family,2
2,15000,900,2,Salt Lake City Sector 1,Kolkata,2,Bachelors/Family,2
3,22000,1300,2,Salt Lake City Sector 2,Kolkata,1,Bachelors/Family,3
4,35000,1600,2,Salt Lake City Sector 3,Kolkata,1,Bachelors/Family,3
3,21000,1450,1,Ajoy Nagar,Kolkata,1,Family,2
2,25000,1100,1,"Action Area 1, Rajarhat Newtown",Kolkata,2,Bachelors,2
2,180000,950,2,"Avenue S, Santoshpur",Kolkata,1,Bachelors/Family,2
1,6000,600,2,Pratiraksha Nagar,Kolkata,1,Bachelors/Family,1
2,14000,700,2,"Kudghat, Ashok Nagar",Kolkata,1,Bachelors/Family,2
3,8000,750,1,"Sakher Bazar, Purba Barisha",Kolkata,1,Family,1
2,8000,1000,1,"Purbasan, Thakurpukur",Kolkata,1,Bachelors/Family,1
1,6000,220,1,"Bidhan Pally, Bansdroni",Kolkata,2,Bachelors/Family,1
1,8000,300,2,"Naktala, Garia",Kolkata,2,Bachelors,1
1,6000,300,2,Tiljala Road,Kolkata,1,Bachelors/Family,1
1,20000,700,1,Sankaritola,Kolkata,2,Bachelors/Family,1
3,12000,800,1,"Parnashree Lake, Behala",Kolkata,1,Bachelors/Family,2
3,15000,1600,1,Garia,Kolkata,1,Bachelors/Family,2
2,14000,1000,2,Kasba,Kolkata,1,Bachelors/Family,2
1,5000,20,1,Dakshineswar,Kolkata,1,Bachelors/Family,1
2,7000,400,2,chatana,Kolkata,1,Bachelors/Family,1
1,3900,200,1,Shyam Bazar,Kolkata,2,Bachelors/Family,1
3,14000,840,2,Mukundapur,Kolkata,1,Bachelors,2
1,6300,300,2,Salt Lake City Sector 5,Kolkata,1,Bachelors/Family,1
2,13000,550,2,Salt Lake City Sector 5,Kolkata,2,Bachelors/Family,2
1,6800,300,2,Salt Lake City Sector 5,Kolkata,1,Bachelors/Family,1
2,8000,800,1,Behala Chowrasta,Kolkata,1,Bachelors/Family,2
2,10000,740,2,Sonarpur,Kolkata,1,Bachelors,1
2,18000,1300,1,Santoshpur,Kolkata,1,Bachelors/Family,2
2,8000,650,1,"Garia Station, Garia",Kolkata,2,Bachelors/Family,1
2,8000,490,1,Entally,Kolkata,2,Bachelors/Family,1
1,4700,250,1,Kaikhali,Kolkata,2,Bachelors/Family,1
1,4700,250,1,"Dash Drone, Rajarhat Newtown",Kolkata,2,Bachelors/Family,1
1,4500,450,1,"Rabindra Pally, Keshtopur",Kolkata,1,Bachelors/Family,1
1,6000,300,2,Salt Lake City Sector 1,Kolkata,2,Bachelors/Family,1
2,16000,750,1,"Rajdanga Gardens, Kasba",Kolkata,1,Bachelors/Family,2
1,4700,250,1,Kaikhali,Kolkata,2,Bachelors/Family,1
2,14000,751,2,Baghajatin,Kolkata,1,Bachelors,1
2,9000,900,2,Lake Town,Kolkata,2,Bachelors,1
2,5000,400,2,Keshtopur,Kolkata,2,Bachelors/Family,1
2,17500,1000,2,Salt Lake City,Kolkata,2,Bachelors/Family,2
2,8500,1000,2,South Baksara,Kolkata,1,Bachelors/Family,1
3,15000,1500,2,"Chandannagar, Hooghly-Chinsurah",Kolkata,2,Family,2
2,12500,750,2,"Sukhpally, Haltu",Kolkata,1,Bachelors/Family,2
1,13000,1200,1,Kasba,Kolkata,2,Bachelors/Family,1
2,8000,700,1,"Sakher Bazar, Purba Barisha",Kolkata,1,Bachelors/Family,1
2,8000,700,2,Garia Dhalua Nabapally,Kolkata,2,Bachelors/Family,1
2,8000,1000,1,"Chinar Park, Rajarhat",Kolkata,2,Bachelors/Family,1
2,7000,1200,1,Konnagar,Kolkata,1,Bachelors/Family,2
2,2200,550,1,Behala silpara,Kolkata,2,Bachelors/Family,1
2,8000,800,2,Vip Road,Kolkata,1,Bachelors,1
2,5500,280,1,New Barrakpur,Kolkata,1,Bachelors,1
3,20000,1100,1,"Thakurpukur, Kolkata",Kolkata,1,Bachelors/Family,3
2,7000,950,1,Kaikhali,Kolkata,1,Bachelors/Family,1
1,3500,250,1,"Phool Bagan, Kankurgachi",Kolkata,2,Bachelors/Family,1
2,5000,1000,2,Hindmotor,Kolkata,1,Bachelors,1
3,20000,1000,2,Salt Lake City Sector 1,Kolkata,2,Bachelors/Family,2
2,7000,650,1,Howrah,Kolkata,1,Bachelors/Family,1
2,10000,700,1,Benia Pukur,Kolkata,1,Bachelors/Family,2
2,7000,700,2,Baguiati,Kolkata,1,Bachelors,1
3,12000,1000,1,E M Bypass,Kolkata,2,Bachelors/Family,2
2,14500,900,2,"Panchanan Tola, Thakurpukur",Kolkata,1,Bachelors,2
1,6000,700,1,"VIP Nagar, E M Bypass",Kolkata,1,Bachelors/Family,1
2,9500,700,1,Jadavpur,Kolkata,1,Bachelors/Family,2
2,10000,450,2,Behala,Kolkata,2,Bachelors/Family,2
1,3500,120,1,Dum Dum Cantonment,Kolkata,1,Bachelors/Family,1
2,9000,800,1,"New Garia, Garia",Kolkata,2,Bachelors/Family,2
3,40000,1220,2,Salt Lake City Sector 3,Kolkata,1,Bachelors/Family,2
3,16500,1100,1,Mominpur,Kolkata,1,Bachelors/Family,1
3,8000,700,2,"Halisahar Station Road, Kanchrapara",Kolkata,1,Family,2
2,12000,800,1,Santoshpur,Kolkata,2,Bachelors/Family,1
2,6500,670,1,"Dunlop, Dakshineswar, Belgharia Expressway",Kolkata,1,Family,1
4,40000,1300,1,Ballygunge,Kolkata,1,Bachelors/Family,3
1,5000,190,1,Baguihati,Kolkata,2,Bachelors/Family,1
2,9000,700,1,Kabardanga,Kolkata,2,Bachelors/Family,1
1,7000,240,2,Jadavpur,Kolkata,1,Bachelors,1
2,18000,850,2,Behala Chowrasta,Kolkata,2,Family,1
1,9000,950,1,Haltu,Kolkata,1,Bachelors/Family,2
1,5500,450,2,Botanical Garden Area,Kolkata,2,Bachelors/Family,1
2,7500,800,2,Bonhooghly,Kolkata,1,Bachelors,1
2,4000,600,2,Nilgung Old Bazar,Kolkata,1,Bachelors/Family,1
3,10500,800,2,"Teghoria, Baguiati",Kolkata,1,Bachelors,2
3,15000,1100,2,Survey Park,Kolkata,1,Bachelors/Family,2
2,15000,800,2,Baguiati,Kolkata,2,Bachelors/Family,1
1,50000,2200,1,Kanchrapara,Kolkata,2,Bachelors/Family,3
2,12000,950,2,"Jote Shibrampur, Joth Shibrampur",Kolkata,1,Bachelors,2
2,11000,550,2,Ultadanga,Kolkata,1,Bachelors/Family,1
2,12000,1800,2,Birati,Kolkata,1,Bachelors,2
2,8000,1000,1,"Chinar Park, Rajarhat",Kolkata,2,Bachelors/Family,1
2,18000,600,1,Bagha Jatin Pally,Kolkata,2,Bachelors/Family,2
2,8000,750,2,rishi aurobindo sarani neat NIOH hospital,Kolkata,2,Bachelors/Family,2
2,7000,685,1,Dum Dum Metro,Kolkata,1,Bachelors/Family,1
1,6500,44,2,Baranagar,Kolkata,2,Bachelors/Family,1
4,13000,1200,2,Tollygunge,Kolkata,1,Bachelors/Family,1
2,9000,500,2,Airport Near Gate No. 21/2,Kolkata,1,Bachelors,1
4,10000,1110,2,Purbasa,Kolkata,1,Bachelors/Family,2
2,12000,1000,1,Jadavpur,Kolkata,1,Bachelors/Family,2
2,5000,392,1,Jadavpur,Kolkata,1,Bachelors/Family,1
2,6000,700,1,Barasat-Barrackpore Road,Kolkata,1,Bachelors/Family,1
1,5200,750,1,Keshtopur,Kolkata,1,Bachelors/Family,1
3,15000,1500,1,"Biren Roy Road (W) Chowrashtra Behala, Raja Rammohan Roy Road",Kolkata,1,Family,2
2,9000,900,1,Keshtopur,Kolkata,1,Bachelors/Family,2
1,24000,710,1,Salt Lake City Sector 1,Kolkata,2,Bachelors,1
1,5500,400,2,jadavpur central park east,Kolkata,1,Bachelors/Family,1
1,10000,700,2,Garia,Kolkata,1,Bachelors,1
2,15000,1000,2,Tn Chatterjee Street,Kolkata,2,Bachelors/Family,1
1,4700,250,1,Kaikhali,Kolkata,2,Bachelors/Family,1
1,5000,500,2,Bata Nagar,Kolkata,2,Bachelors/Family,1
2,5000,450,2,Birati,Kolkata,2,Bachelors/Family,1
3,15000,1400,1,Survey Park,Kolkata,1,Bachelors/Family,1
1,5000,500,2,Bata Nagar,Kolkata,2,Bachelors/Family,1
2,6000,700,2,Hatiara Extention,Kolkata,1,Bachelors/Family,1
3,18000,1200,2,Salt Lake City Sector 1,Kolkata,2,Bachelors/Family,1
2,8000,450,2,Andul,Kolkata,1,Bachelors,1
1,13000,500,2,Salt Lake City Sector 2,Kolkata,2,Bachelors,1
2,7500,400,2,locality,Kolkata,1,Bachelors/Family,1
3,12000,1000,1,Khardah,Kolkata,1,Bachelors/Family,2
2,11000,750,2,Parnasree Pally,Kolkata,1,Bachelors,1
1,6000,450,1,Baghajatin,Kolkata,1,Family,1
3,20000,1000,2,Salt Lake City Sector 3,Kolkata,1,Bachelors,2
2,7000,500,2,sarsuna banerjee para,Kolkata,1,Bachelors,2
4,30000,1600,2,Salt Lake City Sector 3,Kolkata,1,Bachelors,2
2,7500,550,2,Near Seven Tanks Road Dumdum Station,Kolkata,1,Bachelors,1
1,6500,550,1,Jyangra,Kolkata,1,Bachelors/Family,2
1,3000,200,1,Barasat,Kolkata,1,Bachelors/Family,1
2,5200,650,2,Sukchar,Kolkata,1,Bachelors,1
2,25000,1000,1,"Tagore Park, Kasba",Kolkata,2,Bachelors/Family,2
2,12500,680,2,Barrackpore,Kolkata,1,Bachelors/Family,2
2,8500,720,2,"Silpara, Purba Barisha",Kolkata,1,Bachelors/Family,2
2,3500,500,2,Konnagar,Kolkata,1,Bachelors,1
2,7000,800,1,Madhyam Gram,Kolkata,1,Bachelors/Family,1
1,3000,160,1,"Kudghat, Ashok Nagar",Kolkata,1,Bachelors/Family,1
2,14000,1200,2,Salt Lake City Sector 5,Kolkata,1,Bachelors/Family,2
1,18000,700,1,Salt Lake City Sector 3,Kolkata,2,Bachelors/Family,1
1,3500,1000,1,Dum Dum Cantonment,Kolkata,2,Bachelors/Family,1
2,16000,1250,1,Kasba,Kolkata,1,Bachelors/Family,2
4,35000,1600,1,Salt Lake City,Kolkata,1,Bachelors/Family,3
2,21000,700,1,Lake Gardens,Kolkata,2,Bachelors/Family,1
1,4500,450,1,"Silpara, Purba Barisha",Kolkata,1,Bachelors/Family,1
2,15000,839,1,Howrah,Kolkata,2,Bachelors/Family,2
1,4500,230,1,Birati,Kolkata,1,Bachelors/Family,1
1,5500,1800,1,Baranagar,Kolkata,1,Bachelors/Family,1
2,8500,800,1,Baguihati,Kolkata,1,Bachelors/Family,2
1,5000,500,2,BRAHMAPUR NEAR BANSDRONI,Kolkata,2,Bachelors/Family,1
2,8500,620,2,Kasba,Kolkata,1,Bachelors,1
2,9000,650,2,tollygunge Kabardanga,Kolkata,1,Bachelors/Family,1
1,7500,550,1,"Naktala, Garia",Kolkata,2,Bachelors/Family,1
2,7000,450,2,safuipara,Kolkata,2,Bachelors,2
3,15000,1350,2,"Annapurna Apartment, Rajarhat Chowmatha",Kolkata,1,Family,2
2,7000,600,1,"Park Circus, Ballygunge",Kolkata,2,Bachelors/Family,2
3,10000,1200,1,Belghoria,Kolkata,2,Bachelors/Family,1
2,7000,700,1,"Haridevpur, Paschim Putiary",Kolkata,1,Bachelors/Family,1
3,3200,800,2,Bhawanipur,Kolkata,2,Bachelors/Family,2
2,6000,600,2,Santoshpur,Kolkata,2,Bachelors/Family,1
2,12000,900,1,Tollygunge,Kolkata,1,Bachelors/Family,2
2,6000,750,1,Behala,Kolkata,1,Bachelors/Family,1
3,10000,1250,1,Jaffarpore Rifle Range Road,Kolkata,1,Bachelors/Family,2
3,12000,1000,1,Dariya,Kolkata,2,Bachelors/Family,3
2,8000,600,1,Howrah,Kolkata,2,Bachelors/Family,1
2,5300,650,2,Sodepur,Kolkata,1,Bachelors/Family,1
2,5000,450,2,Liluah,Kolkata,1,Bachelors,1
3,8500,800,1,Near DumDum Metro,Kolkata,1,Bachelors/Family,2
3,22000,1000,2,"Sukanta Nagar, New Barrakpur",Kolkata,2,Bachelors/Family,2
2,7000,1000,1,"Kumarpara, Narendrapur",Kolkata,1,Bachelors/Family,1
3,25000,1400,2,Salt Lake City,Kolkata,2,Bachelors,3
2,7000,600,2,Barrackpore,Kolkata,2,Bachelors,1
2,15000,723,2,Narendrapur,Kolkata,2,Family,1
1,6000,320,2,Sahid Nagar,Kolkata,1,Bachelors/Family,1
2,8000,900,1,Belghoria,Kolkata,2,Bachelors/Family,1
3,40000,1400,2,Salt Lake City Sector 2,Kolkata,2,Bachelors/Family,2
1,6000,2160,1,Kasba,Kolkata,2,Bachelors,1
2,15000,650,2,kasba bosepukur,Kolkata,2,Bachelors/Family,1
2,6500,800,1,Kanchrapara,Kolkata,2,Bachelors/Family,1
3,8000,800,1,Bansdroni,Kolkata,2,Bachelors/Family,1
1,5500,500,2,"Garia Station, Garia",Kolkata,1,Bachelors/Family,1
3,9000,1700,1,Panchanantala Road,Kolkata,2,Bachelors/Family,2
1,6000,130,2,Bow Bazar,Kolkata,2,Bachelors/Family,1
1,15000,505,1,Kasba,Kolkata,2,Bachelors/Family,1
4,30000,4000,1,"Sakher Bazar, Purba Barisha",Kolkata,2,Bachelors/Family,3
3,30000,1250,1,New Alipore,Kolkata,1,Bachelors/Family,2
1,5000,700,2,My Own House,Kolkata,1,Bachelors/Family,1
2,15000,900,1,"Park Circus, Ballygunge",Kolkata,1,Bachelors,1
1,6500,650,1,Joka,Kolkata,2,Bachelors/Family,1
2,4500,750,1,Azadgarh,Kolkata,2,Bachelors/Family,1
2,7000,450,2,Mandirtala,Kolkata,1,Bachelors/Family,1
1,6500,350,2,Dhakuria,Kolkata,2,Bachelors/Family,1
1,17500,480,2,Rabindra Sarovar Metro,Kolkata,2,Bachelors,2
2,10000,900,1,Garia,Kolkata,1,Bachelors/Family,1
1,1500,200,1,Santoshpur,Kolkata,2,Bachelors/Family,1
3,25000,1100,1,"Regent Estate, Bijoygarh",Kolkata,1,Bachelors/Family,3
2,12000,800,2,Kasba,Kolkata,1,Bachelors/Family,1
3,7500,1000,2,south station pally dankuni,Kolkata,2,Bachelors/Family,2
1,7000,800,2,Kumargali,Kolkata,1,Bachelors/Family,1
1,3500,200,1,Baguihati,Kolkata,2,Bachelors/Family,1
3,10000,1190,2,Sarsuna,Kolkata,1,Bachelors/Family,2
2,14000,900,2,Salt Lake City,Kolkata,1,Bachelors,2
2,15000,1500,1,Garia,Kolkata,1,Bachelors/Family,2
2,6500,600,1,Thakurpukur,Kolkata,1,Bachelors/Family,1
3,10000,800,1,Brahmapur,Kolkata,1,Bachelors/Family,1
2,10500,800,2,Santoshpur,Kolkata,1,Family,2
3,10000,900,2,Garia,Kolkata,2,Bachelors/Family,2
1,5000,350,2,Purba Barisha,Kolkata,2,Bachelors/Family,1
2,9000,800,2,Sodepur,Kolkata,1,Bachelors/Family,1
2,20000,1600,2,Jadavpur University,Kolkata,1,Bachelors,2
3,35000,1012,2,Salt Lake City Sector 1,Kolkata,2,Bachelors/Family,2
3,15000,1200,2,"Pathak Para, Behala",Kolkata,1,Bachelors,2
2,20000,700,1,Salt Lake City Sector 1,Kolkata,2,Bachelors/Family,1
2,12000,1000,1,Behala,Kolkata,2,Bachelors/Family,1
2,8000,800,2,Thakurpukur,Kolkata,1,Bachelors,1
1,3000,500,1,Hatiara,Kolkata,2,Bachelors/Family,1
3,20000,1200,2,"Haridevpur, Paschim Putiary",Kolkata,2,Bachelors,2
1,9000,450,2,Salt Lake City Sector 2,Kolkata,1,Bachelors,1
3,13000,950,2,"Rabindrapally, Garia",Kolkata,1,Bachelors/Family,2
1,7000,350,2,Salt Lake City Sector 5,Kolkata,1,Bachelors/Family,1
1,9000,450,2,Salt Lake City Sector 5,Kolkata,1,Bachelors/Family,1
1,9000,550,2,"Bangur Avenue, Lake Town",Kolkata,2,Bachelors,1
2,10000,300,2,Keshtopur,Kolkata,1,Bachelors,1
3,15000,1250,1,"Sakher Bazar, Purba Barisha",Kolkata,2,Bachelors/Family,2
2,7000,700,1,Garia,Kolkata,1,Bachelors/Family,1
3,8000,812,1,Hooghly,Kolkata,1,Bachelors/Family,2
2,8000,550,1,"Kalabagan, Tollygunge",Kolkata,1,Bachelors/Family,1
1,5000,500,1,Rishra,Kolkata,2,Bachelors/Family,1
1,14000,320,2,"Action Area 3, Rajarhat Newtown",Kolkata,2,Bachelors,1
2,5000,600,1,"Anandapuri, Barrackpore",Kolkata,1,Bachelors/Family,1
2,5000,420,2,Barasat,Kolkata,1,Bachelors,1
3,12000,1100,1,Rabindrapally Kestopur,Kolkata,1,Bachelors,1
1,3200,220,1,Sodepur,Kolkata,1,Bachelors/Family,1
2,8500,700,2,Nungi More,Kolkata,2,Bachelors/Family,2
3,16000,1200,2,"Baishnabghata, Garia",Kolkata,1,Bachelors/Family,2
2,14000,800,2,Santoshpur - EM Bypass,Kolkata,1,Bachelors/Family,2
1,8000,300,2,Bansdroni,Kolkata,2,Bachelors,1
2,7000,650,2,Baruipur,Kolkata,1,Bachelors/Family,1
1,8000,600,1,Garia,Kolkata,2,Bachelors/Family,1
1,3000,350,1,Belghoria,Kolkata,1,Bachelors/Family,1
1,3800,500,2,Nalta,Kolkata,1,Bachelors,1
1,6500,400,1,"Vivek Nagar, Garfa",Kolkata,1,Bachelors/Family,1
3,20000,1750,1,Kalindi,Kolkata,2,Bachelors/Family,3
3,30000,1600,1,Ballygunge,Kolkata,1,Bachelors/Family,2
1,8000,300,2,Salt Lake City Sector 5,Kolkata,2,Bachelors/Family,1
2,14000,1100,1,"Survey park, Santoshpur, kolkata",Kolkata,2,Bachelors/Family,2
2,7200,830,1,Sodepur,Kolkata,1,Bachelors/Family,1
2,7000,600,2,2 BHK,Kolkata,2,Bachelors/Family,2
1,7000,500,1,Baranagar,Kolkata,1,Bachelors,2
2,7500,900,2,Dum Dum Cantonment,Kolkata,1,Bachelors/Family,1
2,8500,1250,2,Barasat,Kolkata,1,Family,2
2,12000,700,2,Salt Lake City Sector 2,Kolkata,1,Bachelors,1
1,8500,850,2,Dakshineswar,Kolkata,1,Bachelors,2
2,9500,550,2,"Garia Station, Garia",Kolkata,1,Bachelors/Family,1
2,7500,550,2,"New Garia Metro, New Garia",Kolkata,2,Bachelors/Family,2
2,12000,1200,1,Hati Bagan - Bansdroni,Kolkata,1,Bachelors/Family,1
3,20000,1100,2,Salt Lake City Sector 2,Kolkata,1,Bachelors,2
2,8500,650,1,Howrah,Kolkata,2,Bachelors/Family,1
3,20000,1050,2,Salt Lake City Sector 2,Kolkata,1,Bachelors,2
2,6000,960,1,Dum Dum,Kolkata,2,Bachelors/Family,2
2,5500,650,2,Joka,Kolkata,1,Bachelors/Family,2
1,7000,550,1,Kasba,Kolkata,2,Bachelors/Family,1
2,7000,500,1,Dum Dum Metro,Kolkata,2,Bachelors/Family,2
1,6500,450,1,"Baishnabghata Patuli Township, Patuli",Kolkata,1,Family,1
2,10000,850,1,Agarpara,Kolkata,1,Bachelors,2
1,5200,300,2,Dum Dum,Kolkata,1,Bachelors/Family,1
2,13000,1000,2,"N.S.C Bose Road (Near Ushagate), New Alipore",Kolkata,2,Bachelors/Family,3
2,7000,500,2,Garia,Kolkata,1,Bachelors/Family,1
2,12000,756,2,Dashadron Newtown Rajarhat,Kolkata,2,Bachelors/Family,1
1,15000,1000,1,Barrackpore,Kolkata,1,Bachelors/Family,1
1,5000,150,2,Anandapur,Kolkata,1,Bachelors/Family,1
1,8000,800,2,New town near ecopark .,Kolkata,1,Bachelors,1
2,8000,700,1,"Gandhi Colony, Netaji Nagar",Kolkata,1,Bachelors,2
1,5000,420,1,Em Bypass South East,Kolkata,1,Bachelors,1
2,10000,800,1,"Gandhi Colony, Netaji Nagar",Kolkata,1,Bachelors,1
2,12000,288,2,Kasba,Kolkata,1,Bachelors,1
2,8000,900,1,"Teghoria, Baguiati",Kolkata,1,Bachelors/Family,2
2,21000,850,2,Salt Lake City Sector 2,Kolkata,1,Bachelors,2
1,5000,350,2,Thakurpukur,Kolkata,1,Bachelors,1
2,9000,600,1,Baghajatin,Kolkata,1,Bachelors/Family,1
2,8000,1600,2,Kalyani,Kolkata,2,Bachelors,1
2,7000,986,2,Pranthik Society Library Road Bhadreswar,Kolkata,1,Bachelors,1
3,35000,1330,2,Salt Lake City Sector 2,Kolkata,1,Bachelors,2
3,15000,1300,1,Lake Town,Kolkata,2,Bachelors/Family,2
