customer_id,age,gender,dependents,occupation,city,customer_nw_category,branch_code,churn
71,79,0,0,1,1020,2,442,0
72,21,1,0,2,745,1,1904,0
73,57,1,2,1,491,2,619,0
74,27,1,1,1,1525,2,194,1
75,71,1,,3,1404,1,3243,0
76,47,1,2,1,1494,1,67,0
77,61,1,0,0,318,3,2760,0
78,70,1,0,0,1020,1,1,0
79,26,0,,1,698,3,231,0
80,41,1,0,1,409,3,921,0
81,32,1,0,0,575,1,3648,0
82,55,1,2,0,146,2,1516,0
83,58,1,2,0,17,2,1783,0
84,40,0,0,1,745,3,2042,0
85,65,1,0,,619,3,1761,0
86,63,0,0,1,630,2,1771,0
87,26,1,0,1,1154,3,1730,1
88,58,1,0,1,1096,1,27,0
89,33,1,0,1,1477,2,2539,0
90,53,1,0,0,775,3,2126,0
91,19,0,0,1,1096,1,11,0
92,35,1,,0,575,3,1002,0
93,41,1,0,1,1,2,5,0
94,36,1,1,1,1020,1,240,0
95,30,1,0,0,58,2,803,0
96,29,0,0,0,409,2,26,0
97,74,1,0,3,146,2,286,0
98,67,0,0,0,1574,2,1572,0
99,26,1,0,1,318,3,35,1
100,32,0,0,1,1477,3,2903,1
101,71,1,0,3,800,3,112,0
102,56,0,0,1,1534,2,63,0
103,43,1,3,1,834,2,1355,0
104,90,0,0,1,1271,2,1253,0
105,48,1,0,1,1525,2,146,0
107,72,0,0,1,1096,3,438,1
108,75,1,0,1,1180,2,116,1
109,70,1,3,1,1020,2,15,0
110,43,1,1,1,1187,3,797,0
111,39,0,,1,465,3,2468,0
112,34,1,0,1,1040,3,252,0
113,49,0,0,1,318,3,108,1
114,38,1,,1,1292,3,2464,1
115,43,0,0,0,61,3,115,0
116,36,1,0,1,1020,3,544,0
117,62,0,0,1,656,2,46,0
118,54,1,0,0,1232,3,149,0
119,39,1,0,1,334,2,1861,0
120,10,0,0,2,1185,3,2196,1
121,67,1,0,1,107,2,1806,0
122,48,1,1,0,1020,1,239,0
123,56,1,,1,180,1,3136,1
124,65,1,2,3,834,3,4672,0
126,40,1,2,2,65,2,183,1
127,66,1,1,3,,1,16,1
129,37,0,0,1,156,2,2755,1
130,58,0,1,1,1020,2,666,0
131,68,1,0,3,1180,3,1583,0
133,34,0,0,1,1096,3,1375,0
134,71,1,0,3,334,2,2082,1
135,46,1,2,0,1298,3,2907,0
136,43,1,3,1,1598,2,1087,0
137,66,1,0,1,1020,1,159,0
138,52,1,0,1,630,3,2192,0
139,43,1,2,0,,3,2245,0
140,31,0,1,1,138,3,1656,0
141,3,0,,2,1232,2,2202,0
142,45,1,0,1,630,1,36,0
143,41,0,,1,271,2,3189,0
144,35,0,0,1,572,3,2397,0
145,41,1,2,1,1020,3,86,0
146,39,1,0,1,241,2,62,0
147,49,0,0,1,1096,2,503,0
148,30,1,0,1,142,2,1950,0
149,30,0,0,1,409,2,679,0
150,25,1,2,1,1154,3,1730,1
151,42,0,0,1,479,3,234,1
152,45,1,0,1,409,2,2008,0
153,74,1,0,3,1032,3,381,0
154,28,1,0,1,32,3,820,0
155,28,1,0,1,146,2,1759,0
156,34,1,0,1,1416,2,524,0
157,49,0,0,1,409,1,935,1
158,40,0,0,0,243,2,2396,0
160,32,1,0,0,485,3,1514,0
161,39,1,0,0,1477,2,724,0
162,44,1,0,1,1046,2,1248,0
163,52,0,0,0,1020,2,86,0
165,36,0,0,1,1525,3,665,0
166,51,0,0,0,751,2,138,0
167,83,0,0,3,1020,1,668,1
168,23,0,0,2,1096,3,363,0
170,52,1,0,0,1046,3,102,0
171,49,0,,1,1043,2,2037,0
172,29,0,,1,146,2,2870,0
173,46,1,2,1,409,3,1672,0
174,31,0,0,1,1494,3,1703,1
176,63,1,3,1,1020,3,143,0
177,26,1,0,0,146,1,76,0
178,43,1,2,1,1096,2,1345,0
179,35,1,0,0,1020,1,5,0
180,75,1,0,3,38,2,861,0
181,39,0,0,0,146,3,2027,0
182,31,1,0,0,1096,2,2024,0
183,64,0,0,1,1181,2,186,0
185,29,0,,1,582,2,638,1
186,48,0,0,1,575,2,616,0
188,49,1,0,1,162,3,304,0
189,55,0,,1,575,2,3526,0
191,37,1,0,1,223,2,187,0
192,44,0,0,1,965,3,370,0
193,36,0,0,1,1020,1,582,0
194,28,0,0,1,318,2,1379,0
195,49,0,0,0,1388,3,1378,0
196,45,1,2,1,443,2,75,0
197,43,0,,1,491,2,396,0
198,30,0,0,1,1271,3,1698,0
199,90,1,0,1,905,3,34,0
200,36,0,0,1,1598,3,1465,0
201,67,1,0,1,834,1,40,1
202,65,1,0,1,1597,2,170,0
203,90,,0,1,575,3,622,0
204,90,1,0,1,15,1,6,1
205,42,1,0,0,575,2,1721,0
206,38,0,0,1,1232,3,149,0
207,75,0,0,1,834,2,18,1
208,32,1,0,0,1084,3,830,0
209,61,1,0,1,413,3,759,0
210,55,1,0,0,569,2,1638,0
211,64,1,0,3,1589,3,33,1
212,52,0,,1,1492,3,2533,0
213,41,1,0,1,1412,2,2179,0
214,28,0,0,0,1179,3,2824,1
216,3,0,,2,575,1,622,0
217,69,0,0,1,1020,2,16,0
218,35,0,1,1,1020,3,159,0
219,49,0,1,1,1135,1,117,0
220,28,1,0,0,1096,2,483,1
221,55,0,,0,1177,3,309,0
222,42,0,0,1,334,2,880,0
223,45,1,2,1,180,2,187,0
225,45,1,0,0,146,3,1045,0
226,39,1,0,1,491,3,619,0
228,38,0,0,1,1449,3,610,0
230,69,0,0,1,833,3,1274,0
231,30,0,0,1,61,2,476,1
232,59,1,1,0,904,3,296,0
233,21,0,0,2,694,2,33,0
234,28,1,0,2,878,2,1716,1
235,60,0,0,0,834,3,1231,0
236,43,1,3,0,491,1,396,1
237,42,1,0,0,432,2,1958,0
238,31,0,0,2,409,2,272,0
239,56,1,0,1,1618,1,51,0
240,33,0,0,1,1076,2,64,0
242,66,0,0,1,409,3,293,0
243,70,1,0,3,334,2,1863,0
244,44,1,0,0,1163,3,1789,1
245,42,1,0,1,914,3,2409,1
247,23,1,0,2,1232,3,1795,0
248,45,1,0,0,409,2,158,0
249,70,1,0,3,1585,3,2644,0
250,67,1,0,3,413,2,759,0
252,33,0,0,1,409,3,1392,0
253,40,1,1,1,1020,2,410,1
254,36,1,3,1,1551,2,2408,0
255,58,0,0,1,996,3,1209,0
256,90,1,0,1,,2,2375,0
257,77,1,0,3,1020,2,2,0
258,42,1,0,1,318,2,213,1
259,59,1,0,0,491,2,707,0
260,37,1,2,0,623,3,473,0
261,29,1,,1,681,2,3436,0
262,49,1,,1,146,2,77,0
263,45,0,0,1,146,3,354,0
264,64,1,2,3,334,2,674,0
265,49,1,0,0,539,2,59,0
266,47,1,1,1,905,2,2474,0
267,81,1,0,3,1020,1,16,0
268,18,0,0,2,146,1,523,0
269,60,0,0,3,906,3,1695,0
270,39,1,3,1,1020,3,47,1
271,52,0,0,0,409,1,248,1
272,64,0,0,1,834,2,14,0
273,41,0,0,1,1525,3,320,0
274,50,1,0,1,1020,2,212,0
275,38,1,0,1,1020,2,16,0
276,53,0,0,1,409,2,932,1
277,54,0,0,1,334,2,676,1
278,77,0,0,1,1020,1,5,0
279,63,1,0,1,694,3,1420,0
280,63,1,0,3,1020,3,501,1
281,15,1,0,2,1181,2,235,0
282,28,0,0,1,1271,2,378,1
283,60,1,0,0,563,3,2845,0
284,39,0,0,1,146,1,77,1
285,61,1,0,0,409,2,1347,0
286,90,1,0,3,1315,2,250,0
287,53,1,2,1,1178,3,526,0
288,31,1,0,1,1477,3,2581,0
289,32,1,0,0,1020,1,227,1
290,24,1,,1,540,3,1983,1
291,23,1,0,0,834,2,219,0
292,32,1,1,0,623,2,81,0
293,55,1,2,1,139,3,643,0
294,60,1,1,0,1232,2,52,0
295,49,1,0,0,1232,3,39,1
296,37,0,0,1,575,2,485,0
297,44,1,0,1,146,2,1298,0
298,69,0,0,1,649,1,289,0
300,33,0,,1,551,3,550,0
301,36,1,0,0,649,2,554,0
302,29,1,0,2,146,2,509,0
303,44,1,1,1,664,3,413,0
304,54,0,0,1,1034,3,1272,0
305,33,0,0,0,409,3,1408,0
306,62,1,2,1,1020,2,358,1
307,47,1,3,1,409,2,1223,0
308,60,1,0,1,294,3,372,0
309,42,0,,1,409,2,612,0
310,53,0,0,1,1020,1,1027,1
311,46,0,0,0,1020,1,114,0
312,31,1,0,1,146,3,1268,1
313,75,1,0,3,834,2,106,0
314,56,1,2,1,454,2,1480,1
315,6,0,0,2,,2,32,1
316,24,1,0,0,575,2,3,0
318,66,1,0,1,1568,2,946,0
319,70,1,0,1,1020,1,14,0
320,52,1,0,0,221,3,68,0
321,40,0,,1,156,3,2901,0
322,34,1,0,0,102,2,826,0
323,35,0,0,0,1020,2,12,0
324,60,1,0,1,1232,1,2844,1
325,61,0,3,1,1496,3,519,1
326,48,0,0,1,594,2,672,0
327,55,1,0,0,1020,2,19,0
328,73,1,0,3,1096,3,578,0
329,61,0,0,1,745,2,298,1
330,29,1,0,1,,2,37,0
331,38,0,0,0,1549,3,2053,0
332,42,1,0,1,1551,2,445,0
333,52,0,0,1,1096,2,249,0
334,30,1,3,1,468,3,829,0
335,36,0,0,1,238,2,1335,0
336,60,1,0,0,1020,1,5,0
337,70,1,0,1,334,2,166,0
338,47,1,3,0,1020,1,86,0
339,28,1,0,1,751,2,1363,0
340,50,0,0,0,1585,3,2644,0
342,65,0,0,1,1570,1,119,1
343,29,1,,1,334,2,675,1
344,61,0,0,1,575,2,1394,1
345,53,0,0,1,1096,2,530,0
346,33,1,0,1,1270,3,2134,0
347,70,1,0,3,1111,3,88,0
348,54,1,0,1,203,2,432,0
349,21,1,0,2,1085,1,135,0
350,48,1,0,1,146,2,367,0
351,39,1,0,0,156,3,2527,0
352,67,0,0,3,146,2,157,0
353,47,0,0,1,1232,3,837,0
354,71,1,4,1,1020,1,80,0
355,52,1,0,1,680,1,565,1
356,60,0,0,,104,3,2158,1
357,26,1,0,1,1585,3,2644,0
358,39,0,0,1,318,1,1306,0
359,57,1,0,1,409,2,2204,0
360,37,1,0,1,,2,780,1
361,51,1,0,1,844,3,918,0
362,44,1,2,1,1598,2,468,0
363,67,1,2,3,834,2,8,0
364,41,1,3,0,977,3,2243,0
365,40,0,0,1,334,3,1875,1
366,39,0,0,1,996,2,812,0
367,33,1,2,0,1020,1,163,0
368,22,0,0,2,1351,3,1431,0
369,41,1,2,1,745,3,1987,0
370,65,0,0,1,334,2,206,0
371,47,0,0,1,834,3,1927,0
373,80,0,0,1,66,3,1427,0
374,62,1,2,1,334,2,500,1
375,63,0,0,1,834,3,1355,0
376,32,0,0,1,,3,1643,1
377,26,1,0,2,1096,2,1070,0
378,30,0,0,1,575,2,4153,0
379,65,0,0,1,1020,2,1357,0
380,35,0,0,1,1232,1,7,1
381,52,1,0,1,1026,2,1111,0
382,47,0,0,1,1037,2,2953,0
383,34,1,,1,1494,3,1448,0
385,64,1,0,3,496,2,1895,0
386,53,0,0,1,834,3,1224,0
387,51,0,0,1,1540,1,1259,1
388,54,0,0,1,1096,3,319,0
389,24,1,0,1,538,3,760,0
390,24,1,0,1,1299,2,2327,0
391,25,1,0,2,15,1,3964,0
392,22,0,,2,334,2,1364,0
393,32,1,0,1,1403,3,1076,0
394,59,1,1,0,146,1,47,0
395,84,0,0,1,834,2,8,0
396,20,1,,2,334,2,1364,0
397,70,0,0,1,,2,3192,0
398,46,0,0,1,1096,2,1375,0
399,61,0,0,1,372,2,1821,0
400,50,1,0,1,615,2,2205,0
402,39,1,1,0,653,3,706,0
403,44,0,0,1,836,3,382,0
404,90,,0,1,1096,2,1719,0
405,46,0,0,1,1589,3,3789,1
406,23,0,0,2,1096,2,438,0
407,42,1,0,0,1020,2,86,0
409,43,1,0,1,2,2,118,1
410,27,0,,1,1020,2,835,0
411,30,1,0,1,1439,3,47,0
412,39,1,,0,21,3,2587,0
413,54,0,0,1,334,3,377,0
414,49,1,0,1,834,1,516,0
415,22,1,0,0,649,2,1844,0
416,47,1,0,1,363,2,31,0
417,90,,0,1,1043,2,2037,0
418,61,0,0,0,479,3,234,0
419,71,0,0,1,834,3,452,1
420,71,0,0,1,1525,3,408,0
421,35,1,0,1,15,2,48,0
422,35,0,0,1,1084,3,358,0
423,60,0,0,1,1096,2,363,0
424,48,1,0,0,70,3,2320,0
425,42,1,0,1,1020,1,118,0
426,43,1,0,0,996,3,343,0
427,35,1,0,0,1593,2,211,0
429,31,1,,1,1537,3,1302,0
430,36,1,3,1,409,3,433,0
431,48,1,1,0,525,3,29,0
432,46,1,0,0,146,2,885,0
433,73,1,2,0,1020,2,356,0
434,29,1,0,1,146,3,2778,0
435,71,1,0,3,1096,3,273,0
436,38,1,0,0,1269,2,421,0
437,53,1,0,1,674,2,2458,0
438,69,0,0,1,1020,2,376,0
439,57,0,2,1,927,2,2719,0
440,53,1,0,0,1477,2,415,0
441,14,1,0,2,146,1,386,0
442,55,0,0,1,1232,1,52,0
443,77,0,0,1,1096,1,27,0
444,40,1,,1,1020,2,16,0
445,51,1,0,1,1598,3,1087,0
446,24,0,0,2,,3,1402,0
447,64,0,0,1,1020,3,501,0
448,28,1,1,0,834,3,2675,0
449,86,1,1,3,1020,1,114,0
450,36,0,0,1,102,3,113,0
451,27,0,0,1,1494,3,1008,0
452,39,1,2,1,1381,3,790,0
453,27,0,0,1,996,2,1379,0
454,40,0,0,1,491,2,2535,0
455,56,0,0,1,575,2,44,0
456,75,1,3,1,1647,2,1400,0
457,44,1,2,1,1534,2,996,0
458,63,1,0,1,,3,819,0
459,33,1,2,1,1096,3,292,0
460,44,1,0,1,762,2,195,0
461,51,0,0,1,146,2,1746,0
462,76,1,0,1,1020,1,60,0
463,64,1,0,1,363,2,269,1
464,78,1,0,1,1271,1,101,0
466,34,1,2,1,531,1,153,0
467,65,0,0,1,1181,2,235,0
468,58,1,2,0,1169,3,2103,0
469,52,0,0,1,169,2,389,1
470,40,1,2,1,1286,3,761,0
471,42,0,0,1,1020,2,490,0
472,20,1,0,2,1020,3,668,0
473,50,0,,0,623,2,218,0
474,53,0,0,1,621,2,8,0
475,47,0,0,1,61,2,263,1
476,47,0,,1,762,2,195,0
477,35,0,0,1,649,2,54,0
478,26,0,,2,1098,2,2793,1
479,43,0,0,1,1348,2,2410,0
480,36,0,0,1,1181,3,2643,0
481,34,1,0,1,171,2,1802,0
482,32,1,0,1,904,2,296,1
483,46,0,0,1,623,1,317,0
484,34,1,0,1,1232,2,29,0
485,72,1,0,0,557,2,284,0
486,69,1,0,3,334,2,260,1
487,50,1,6,0,1096,3,1985,0
488,55,1,3,1,834,3,18,0
489,35,1,0,0,1096,3,328,0
490,74,0,0,1,834,3,8,0
491,61,1,2,1,833,2,164,0
492,34,0,0,1,1084,3,256,0
493,39,0,0,1,623,3,42,0
494,38,1,0,1,1525,3,1801,0
495,40,1,0,0,1348,3,974,0
496,81,0,0,1,1096,2,1092,0
497,38,1,0,1,,2,758,1
498,37,0,0,1,656,3,1581,0
499,34,1,0,1,656,3,2525,0
500,67,1,0,0,904,3,1136,1
501,67,0,0,0,491,2,396,0
502,44,1,0,0,1525,1,276,0
503,26,1,0,0,1096,1,89,0
504,90,0,0,1,1111,3,1351,0
505,64,0,0,1,1020,3,5,0
506,90,1,0,1,1111,2,1223,0
507,30,1,0,0,427,2,244,0
509,35,1,1,0,409,2,134,0
510,27,1,2,0,485,3,1509,0
511,46,1,0,0,311,3,2264,0
512,46,1,0,1,1135,2,1528,0
513,34,1,0,1,995,2,1483,1
514,48,1,,1,,2,1578,0
515,52,1,0,1,917,3,1909,0
516,38,0,0,0,585,3,458,0
517,37,1,0,0,1020,1,1027,0
518,80,1,0,3,834,1,174,1
519,50,0,0,0,409,1,158,1
520,52,1,4,1,1163,3,1789,0
521,34,1,0,1,623,3,472,0
522,59,1,0,1,1540,3,1541,0
524,35,1,0,0,1494,2,388,0
525,71,0,0,1,724,2,194,0
527,90,0,,1,575,2,44,0
528,50,1,0,1,1150,3,108,0
529,46,0,0,0,1020,2,13,0
530,90,1,0,1,409,2,287,0
531,66,0,0,1,834,3,789,0
532,50,1,0,0,146,2,41,0
533,39,0,0,0,146,2,41,0
535,45,0,0,1,1494,2,251,0
537,80,1,,3,146,2,3636,0
538,45,1,4,1,224,2,137,0
539,76,1,2,3,1020,3,202,0
540,64,1,0,3,1020,2,998,1
541,57,1,0,0,15,2,2863,0
542,38,0,0,1,1232,2,104,0
543,27,1,0,2,1096,1,480,0
544,13,0,0,2,146,2,312,0
545,43,0,2,1,1494,3,1007,0
546,31,1,2,1,665,2,177,0
547,22,0,0,2,623,2,365,0
548,37,1,0,0,1020,1,163,1
549,36,1,2,1,630,2,2140,0
550,45,0,0,1,287,3,2673,0
551,29,1,2,1,983,2,2130,1
553,55,1,2,1,837,2,203,0
554,73,0,0,3,1020,3,1114,0
555,40,1,1,1,1262,2,215,0
556,49,1,0,1,409,1,217,0
557,69,1,0,1,1525,2,733,0
558,51,0,0,1,491,2,279,1
559,54,0,0,1,737,3,3019,0
560,61,1,0,1,1577,2,815,0
561,27,1,,0,797,2,1631,0
562,90,1,0,1,,1,11,0
563,7,1,0,2,146,3,628,1
564,31,1,0,1,485,3,1601,1
565,49,1,0,0,,2,1555,1
566,79,0,0,3,992,2,1446,0
567,67,0,0,1,1096,3,26,0
568,37,0,0,0,630,1,36,0
569,33,0,,1,630,3,1405,0
570,28,0,0,1,649,3,1585,1
571,77,0,0,1,740,3,1902,0
572,45,1,0,0,1096,2,1375,0
573,42,1,0,1,243,3,2402,0
574,47,0,0,1,1256,3,1454,0
575,76,1,0,3,914,3,2615,0
576,17,0,0,2,409,2,1220,0
577,50,0,0,1,,2,89,0
578,44,1,0,0,834,3,2807,1
579,9,0,0,2,146,2,2729,0
580,49,1,0,1,551,3,550,0
581,75,0,0,3,1271,1,101,0
582,62,1,0,0,531,2,218,0
583,75,1,0,3,15,3,2534,0
585,47,0,0,0,1096,1,1562,0
586,67,1,0,1,745,1,127,1
587,28,0,0,1,,2,1438,0
588,25,0,0,1,698,2,231,0
589,48,1,0,0,146,2,140,0
590,50,1,0,0,575,2,75,0
591,62,1,0,3,1096,2,272,0
592,62,1,2,1,1456,3,1860,0
593,70,1,0,0,491,2,93,0
594,43,0,0,1,491,3,279,0
595,31,1,0,1,1271,3,379,0
596,14,0,0,2,1232,3,75,0
597,36,0,,1,334,2,676,0
598,52,0,0,1,409,3,193,0
600,34,1,,0,815,3,2628,0
601,60,0,0,1,983,2,238,0
602,29,1,1,0,1275,2,985,1
603,61,1,2,1,1096,3,617,1
604,48,1,0,1,996,2,1307,0
605,46,1,0,0,146,2,129,0
606,59,0,2,0,334,3,1866,1
607,90,0,0,1,61,2,1313,0
608,90,,0,1,724,3,60,0
609,26,0,0,1,409,2,331,1
610,26,1,0,2,904,2,2806,0
611,31,0,0,1,1232,2,837,1
612,81,1,0,3,409,3,1349,0
613,72,0,0,1,575,2,90,0
614,49,0,0,1,1232,3,149,0
615,42,1,1,1,745,3,1093,1
616,40,0,0,1,334,2,124,1
617,35,0,0,1,146,2,1718,0
618,28,0,0,0,1020,1,580,0
619,3,1,0,2,1150,1,873,0
620,42,1,0,0,363,2,2569,0
621,28,1,2,1,721,2,894,0
622,68,0,0,1,318,2,2774,0
624,46,1,0,0,1589,1,33,0
625,54,0,1,1,834,1,40,1
626,51,0,1,0,563,2,88,0
627,65,0,0,1,848,2,167,1
628,25,1,0,2,146,2,53,0
629,44,1,3,1,764,3,566,0
630,28,1,0,0,621,3,22,0
632,11,0,0,2,1096,3,557,1
633,32,0,,1,409,2,314,0
634,45,0,0,1,50,2,654,0
635,34,1,0,0,372,3,236,0
636,33,0,0,0,1181,2,235,0
637,61,0,2,1,1180,2,1330,1
638,43,1,2,1,904,3,2806,0
639,90,,,1,1020,1,143,0
640,41,0,0,1,1020,2,1108,0
641,38,1,0,1,398,2,1780,1
642,30,0,0,1,527,2,641,1
643,78,0,0,3,624,3,736,0
644,59,1,2,1,1262,3,2476,0
645,56,1,2,1,649,3,289,0
647,22,1,,1,462,1,2475,0
648,52,0,0,0,575,2,3818,1
649,32,0,0,1,409,2,1350,0
650,46,1,2,1,1020,2,541,0
651,40,1,0,0,146,1,75,0
652,31,1,2,0,1583,2,179,0
653,70,0,0,1,,3,1302,0
654,31,0,0,1,334,3,574,0
655,53,1,3,0,334,2,1216,1
656,59,1,3,0,1564,3,2835,0
657,35,0,2,1,1633,3,2095,1
658,71,1,0,1,691,3,680,0
659,51,0,0,1,1084,2,830,1
660,32,1,0,0,334,2,500,0
661,57,0,0,1,1477,2,415,0
662,72,1,0,3,479,3,1275,0
663,24,1,0,2,167,3,1840,0
664,71,1,0,3,578,3,2721,0
665,39,1,0,0,531,3,3,0
666,60,0,0,1,61,2,1580,0
667,45,1,0,1,1111,2,88,0
668,90,,,1,1096,2,314,0
669,43,1,0,1,1020,3,542,0
670,79,0,0,1,146,2,41,0
671,34,1,0,1,1322,2,176,0
672,48,1,0,1,409,2,585,0
673,54,1,,1,1446,2,726,0
674,25,1,0,2,1020,2,1,0
675,64,1,0,1,696,2,753,0
676,67,1,0,1,195,2,639,0
677,50,0,0,1,15,3,69,0
678,61,1,0,0,814,2,827,1
680,30,0,0,1,649,1,54,0
681,21,1,0,2,1096,2,26,0
682,46,0,0,1,517,2,420,0
683,30,0,0,0,334,1,10,1
684,27,1,1,1,1236,3,1651,0
685,61,1,0,0,1525,2,1085,0
686,50,1,0,0,1565,1,63,0
687,49,0,0,1,15,3,958,0
688,44,1,2,1,649,3,3439,0
689,62,1,0,1,1096,1,319,0
690,50,0,0,1,1589,3,33,0
691,51,0,0,1,1022,2,577,0
692,47,0,0,1,833,3,164,0
693,72,0,0,1,15,1,6,0
694,59,1,3,1,409,3,1663,0
695,69,1,0,3,409,3,330,0
696,41,0,0,1,1042,2,1853,1
697,49,1,0,1,,2,801,0
698,57,0,0,1,834,2,752,1
700,50,1,0,0,1388,3,1555,0
701,68,0,0,1,1096,3,1666,0
702,35,1,0,0,1071,3,623,0
703,32,0,0,1,623,1,621,0
704,53,0,0,0,526,2,421,0
705,27,0,0,2,1111,2,88,0
706,36,0,0,1,649,2,54,0
707,79,1,4,1,620,1,351,0
708,69,1,0,3,334,1,82,1
709,52,0,0,1,623,2,1995,1
710,35,1,,1,1339,3,2289,0
711,71,0,0,3,1020,3,19,0
713,51,1,0,0,973,1,548,0
714,42,1,2,1,1388,1,377,1
715,49,1,,1,563,2,3391,1
716,75,0,0,1,1020,3,1471,0
717,63,0,0,1,15,3,1676,0
718,33,1,0,1,146,2,76,1
719,44,0,0,1,1096,3,581,0
720,60,1,1,1,1135,3,1530,1
721,51,1,3,1,1096,2,294,0
722,22,1,0,2,1232,3,149,0
723,63,1,0,1,1525,3,1235,0
726,44,1,2,1,409,2,331,0
728,10,0,0,2,15,3,2441,0
729,50,1,0,0,1595,2,2994,0
730,70,1,1,0,1076,2,456,0
731,19,1,0,2,409,2,313,0
732,55,1,0,0,834,3,277,0
733,60,1,0,0,623,2,21,0
734,22,1,0,1,447,3,989,1
735,40,1,0,1,834,3,1242,0
736,49,1,0,1,409,3,1697,0
737,47,1,0,0,146,2,1759,0
738,25,0,0,2,146,3,75,0
739,62,1,,1,492,3,1414,0
740,26,1,0,0,575,2,1264,1
741,90,,0,1,409,2,557,0
742,73,0,0,1,834,2,1130,0
743,71,0,0,3,1215,3,169,0
744,59,0,0,1,,2,109,0
745,55,0,,1,388,3,2251,0
746,39,1,0,1,1088,1,266,0
747,6,0,,2,1020,2,19,0
748,42,1,2,0,1589,2,33,0
749,90,1,0,1,,2,2255,0
750,74,1,0,1,1020,1,19,1
751,35,1,2,1,834,1,516,0
752,40,1,0,0,146,2,1759,0
753,37,1,0,1,409,2,711,0
754,38,1,2,0,1232,2,962,0
755,59,1,2,0,50,2,131,0
756,47,1,0,0,1181,2,235,0
757,27,1,0,0,15,2,889,0
758,65,0,0,1,1096,2,581,0
759,8,1,0,2,1020,2,541,0
760,59,0,,1,1020,2,1204,0
761,59,0,0,1,1418,3,1387,0
762,47,1,0,0,1232,3,1227,0
763,42,1,0,1,665,2,1251,0
764,59,0,0,1,572,3,2335,0
765,48,1,2,1,1494,3,1708,0
766,44,1,0,1,1184,3,1824,0
767,90,,0,1,623,1,1228,1
768,39,1,2,0,1020,3,667,0
770,44,1,0,0,617,2,1410,1
771,32,0,0,0,1020,2,227,0
773,59,1,,1,905,2,606,0
774,62,1,0,,697,3,1812,0
775,72,1,0,3,1138,3,1736,0
776,59,0,1,1,409,2,331,0
777,34,0,0,0,302,2,402,0
778,90,0,0,3,1020,1,85,0
779,27,0,,1,1541,2,1781,0
780,65,1,2,0,146,2,157,1
781,49,0,0,1,1570,2,119,0
782,67,0,2,1,146,2,353,0
783,55,0,1,1,1232,3,837,0
784,75,0,1,1,334,1,2046,1
785,31,1,0,0,,3,2156,0
786,81,1,0,3,409,3,932,0
787,39,1,0,0,146,3,1050,0
788,70,1,0,3,1111,2,313,0
789,41,1,3,1,,2,3225,0
790,82,0,0,3,1020,1,240,0
791,30,1,0,1,15,2,300,0
793,31,1,0,0,575,2,2549,0
794,33,1,0,0,956,1,94,0
795,28,0,0,1,,2,210,0
796,68,1,0,3,1020,3,998,0
